Date_ROP_L01d,Open_ROP_L01d,High_ROP_L01d,Low_ROP_L01d,Close_ROP_L01d,Adj Close_ROP_L01d,Volume_ROP_L01d,Daily_Return_ROP_L01d,Vol5_ROP_L01d,Vol10_ROP_L01d,Vol20_ROP_L01d,Vol60_ROP_L01d,SMA5_ROP_L01d,SMA10_ROP_L01d,SMA30_ROP_L01d,SMA60_ROP_L01d,SMA100_ROP_L01d,EMA5_ROP_L01d,EMA10_ROP_L01d,EMA30_ROP_L01d,EMA60_ROP_L01d,EMA100_ROP_L01d,Short12_ROP_L01d,Long26_ROP_L01d,MACD_ROP_L01d,SIGNAL9_ROP_L01d,Ret5/10_ROP_L01d,Ret10/30_ROP_L01d,Ret30/60_ROP_L01d,Ret30/100_ROP_L01d,Emaret5/10_ROP_L01d,Emaret10/30_ROP_L01d,Emaret30/60_ROP_L01d,Emaret30/100_ROP_L01d,RetMACD_ROP_L01d,DayRange_ROP_L01d,average20r_ROP_L01d,PRVHI_ROP_L01d,HitLevel_ROP_L01d,hitlevel_2_ROP_L01d,hitlevel_1.8_ROP_L01d,positive_return_dummy,sma_ratio_L01d,RetMACD_L01d,R_sma_ratio_L01d,ret_sma_ratio_L01d,ema_ratio_L01d,R_ema_ratio_L01d,ret_ema_ratio_L01d,volatility_ratio_L01d,R_vol_ratio_L01d,ret_vol_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2023-01-04,438.8399963378906,445.2799987792969,436.1000061035156,442.739990234375,442.739990234375,371300.0,1.9058138705858263,1.802100137523006,1.297788386872875,1.2524540968694404,1.6144079199696093,434.4679931640625,431.94599609375,433.44533284505206,415.8558329264323,408.8356002807617,436.03325858366,433.8663913101319,429.7870738199156,422.0002968928163,418.10711999629495,433.49944029823786,430.89472628050186,2.6047140177360006,2.4823568752381497,-1.5404022580003012,1.5404022580003012,-1.5404022580003012,-1.5404022580003012,1.5404022580003012,-1.5404022580003012,-1.5404022580003012,-1.5404022580003012,-1.5404022580003012,7.3599853515625,7.872000122070313,445.2799987792969,419.56220001220703,421.1220001220703,422.6818002319336,0.0,0.9965408861563678,-1.9058138705858263,-1.0,-1.9058138705858263,1.0049943192580204,1.0,1.9058138705858263,1.388593206528308,1.0,1.9058138705858263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,1,,1,,-1
2023-01-05,439.4700012207031,441.489990234375,434.1300048828125,435.9200134277344,435.9200134277344,254800.0,-1.5404022580003012,1.782602748067914,1.4446447583804372,1.2951808072878743,1.6211762266620022,436.41599731445314,433.0869964599609,433.4926666259765,417.0358332316081,408.8038003540039,435.9955101983515,434.239777149696,430.1827473430008,422.4566810415021,418.4598505592938,433.87183616431423,431.2669697728894,2.604866391424821,2.506858778475484,1.7778490918689545,-1.7778490918689545,1.7778490918689545,1.7778490918689545,-1.7778490918689545,1.7778490918689545,1.7778490918689545,1.7778490918689545,1.7778490918689545,7.02001953125,7.816500854492193,441.489990234375,427.9615985107422,429.5359985351562,431.1103985595703,1.0,0.9990641821713547,-1.5404022580003012,-1.0,1.5404022580003012,1.0040432340403727,1.0,-1.5404022580003012,1.2339384736122636,1.0,-1.5404022580003012,0.0,1.0,0.0,0.001091925,0.001091925,0.00216211,0.00216211,-1.5404022580003012,1,-1.5404022580003012,1,-1.5404022580003012,1,1.5404022580003012,1
2023-01-06,439.9299926757812,443.8500061035156,436.8299865722656,443.6700134277344,443.6700134277344,467300.0,1.7778490918689545,1.5932079509832324,1.4740113582845962,1.352932047481854,1.6303118514281685,437.7760009765625,434.3699981689453,433.85700073242185,418.3615000406901,408.84640045166014,438.5536779414791,435.9543655638848,431.0528935420158,423.1522001361327,418.95906170520345,435.3792480509942,432.1857137473223,3.193534303671868,2.644193883514761,-0.0586043135113414,-0.0586043135113414,-0.0586043135113414,-0.0586043135113414,0.0586043135113414,-0.0586043135113414,-0.0586043135113414,-0.0586043135113414,-0.0586043135113414,7.1400146484375,7.860002136230472,443.8500061035156,424.2936883544922,425.8569885253906,427.42028869628905,0.0,1.0011824113375085,1.7778490918689545,1.0,-1.7778490918689545,1.0059623496927994,1.0,1.7778490918689545,1.0808654506145414,1.0,1.7778490918689545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7778490918689545,1,1.7778490918689545,-1,1.7778490918689545,1,1.7778490918689545,1
2023-01-09,444.0,449.3900146484375,442.25,443.4100036621094,443.4100036621094,517500.0,-0.0586043135113414,1.421556983696182,1.451026309176351,1.3522839470742625,1.6309938734744094,440.0400024414063,435.85999755859376,434.18333435058594,419.6524998982748,408.9172006225586,440.1724531816892,437.3099361271983,431.8501264529896,423.81639041567286,419.443238773657,436.6147489142427,433.0171426298991,3.597606284343556,2.83487636368052,0.0112734923785892,0.0112734923785892,0.0112734923785892,0.0112734923785892,-0.0112734923785892,0.0112734923785892,0.0112734923785892,0.0112734923785892,0.0112734923785892,4.8900146484375,7.889503479003909,449.3900146484375,426.5580014038086,428.1300018310547,429.7020022583008,1.0,1.0038616480075533,-0.0586043135113414,1.0,-0.0586043135113414,1.006545739801481,1.0,-0.0586043135113414,0.9796907021645276,-1.0,-0.0586043135113414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0586043135113414,1,0.0586043135113414,-1,-0.0586043135113414,1,-0.0586043135113414,-1
2023-01-10,443.8900146484375,445.9100036621094,441.0199890136719,443.4599914550781,443.4599914550781,323100.0,0.0112734923785892,1.4396779293700863,1.4549419030138342,1.3439654074564045,1.6270954948369971,441.8400024414062,437.1949981689453,434.4193339029948,420.8684997558594,409.01180053710937,441.26829927281887,438.4281280049946,432.5991500015115,424.4604429087681,419.91881803467527,437.6678631512943,433.79068698731976,3.877176163974525,3.043336323739321,1.9505691749332492,1.9505691749332492,1.9505691749332492,1.9505691749332492,-1.9505691749332492,1.9505691749332492,1.9505691749332492,1.9505691749332492,1.9505691749332492,8.480010986328182,7.914002990722662,445.9100036621094,432.0331069946289,433.6110076904297,435.1889083862305,1.0,1.0063893663318637,0.0112734923785892,1.0,0.0112734923785892,1.0064780772181476,1.0,0.0112734923785892,0.9895088775626508,-1.0,-0.0112734923785892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112734923785892,1,-0.0112734923785892,-1,0.0112734923785892,1,-0.0112734923785892,-1
2023-01-11,445.9200134277344,452.4100036621094,443.9299926757812,452.1099853515625,452.1099853515625,304100.0,1.9505691749332492,1.4513236681356432,1.542617880623378,1.341705993767338,1.6123782558719273,443.71400146484376,439.0909973144532,435.3553334554037,422.3506663004557,409.195400390625,444.8821946324001,440.91573843164326,433.8579135724825,425.3669852839416,420.5562668924354,439.88972810518175,435.14767205133774,4.74205605384401,3.383080269760259,-0.1946372329180262,-0.1946372329180262,-0.1946372329180262,-0.1946372329180262,0.1946372329180262,-0.1946372329180262,-0.1946372329180262,-0.1946372329180262,-0.1946372329180262,8.169982910156193,7.760502624511721,452.4100036621094,428.4991970825195,430.0819976806641,431.6647982788086,0.0,1.008580723772004,1.9505691749332492,1.0,1.9505691749332492,1.0089959505978754,1.0,1.9505691749332492,0.9408186475507192,-1.0,-1.9505691749332492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9505691749332492,1,-1.9505691749332492,-1,1.9505691749332492,-1,-1.9505691749332492,-1
2023-01-12,451.2900085449219,453.4299926757812,445.260009765625,451.2300109863281,451.2300109863281,345900.0,-0.1946372329180262,1.0695613227032246,1.3912710225073035,1.331526429498117,1.5973075824442473,446.7760009765625,441.5959991455078,436.22133382161456,423.68883310953777,409.3745004272461,446.9981334170428,442.7910607143132,434.9786940507952,426.2149533397576,421.1636677655818,441.6343870099735,436.3389564168926,5.295430593080937,3.765550334424395,-0.0554041162850701,-0.0554041162850701,-0.0554041162850701,-0.0554041162850701,0.0554041162850701,-0.0554041162850701,-0.0554041162850701,-0.0554041162850701,-0.0554041162850701,7.110015869140682,7.464002990722662,453.4299926757812,435.3368978881836,436.8889984130859,438.4410989379883,0.0,1.0123209593552136,-0.1946372329180262,1.0,-0.1946372329180262,1.009501259343273,1.0,-0.1946372329180262,0.7687656146073508,-1.0,0.1946372329180262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1946372329180262,1,0.1946372329180262,1,0.1946372329180262,1,0.1946372329180262,1
2023-01-13,447.6499938964844,452.0400085449219,444.9299926757812,450.9800109863281,450.9800109863281,279600.0,-0.0554041162850701,0.9086559944128574,1.222755456609872,1.3004802372484263,1.5940670662664718,448.2380004882813,443.0070007324219,436.62433369954425,424.948666381836,409.6630004882812,448.325425940138,444.2799607637704,436.0110370788941,427.0269224429238,421.7540904036164,443.0721753140281,437.4234789775915,5.648696336436558,4.142179534826828,-1.312699739127415,-1.312699739127415,-1.312699739127415,-1.312699739127415,1.312699739127415,-1.312699739127415,-1.312699739127415,-1.312699739127415,-1.312699739127415,8.489990234375,7.447502136230474,452.0400085449219,437.00918609619134,438.5019866943359,439.9947872924804,0.0,1.0146182119049503,-0.0554041162850701,1.0,-0.0554041162850701,1.0091056665473117,1.0,-0.0554041162850701,0.7431216025256062,-1.0,0.0554041162850701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0554041162850701,1,-0.0554041162850701,1,-0.0554041162850701,-1,-0.0554041162850701,1
2023-01-17,450.9800109863281,452.1799926757812,443.6900024414062,445.0599975585938,445.0599975585938,512300.0,-1.312699739127415,1.1765547859540593,1.252531652513331,1.2399699215861666,1.5981739474303924,448.5679992675781,444.3040008544922,436.6353332519531,426.1758331298828,409.9463003540039,447.2369498129566,444.4217856355565,436.5948409808103,427.61817080737205,422.21559351559614,443.3779941208844,437.9891470206287,5.388847100255646,4.391513047912592,-1.6289938524626693,-1.6289938524626693,-1.6289938524626693,-1.6289938524626693,1.6289938524626693,-1.6289938524626693,-1.6289938524626693,-1.6289938524626693,-1.6289938524626693,11.95001220703125,7.728002929687508,452.1799926757812,435.6555038452148,437.14500427246094,438.634504699707,0.0,1.0175630944601408,-1.312699739127415,1.0,-1.312699739127415,1.0063344423437168,1.0,-1.312699739127415,0.9393413600312484,-1.0,1.312699739127415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.312699739127415,1,-1.312699739127415,-1,1.312699739127415,1,-1.312699739127415,-1
2023-01-18,448.1400146484375,448.7200012207031,436.7699890136719,437.8099975585938,437.8099975585938,517400.0,-1.6289938524626693,1.4066250797153548,1.387190900824676,1.2674305520240594,1.607800612609113,447.43800048828126,444.6390014648438,436.4333333333333,427.34916636149086,410.138200378418,444.0946323948357,443.219642348836,436.67323817937694,427.95232906151045,422.5243935956555,442.5213792651473,437.9758766901076,4.545502575039677,4.422310953338009,-1.2859470807445708,-1.2859470807445708,-1.2859470807445708,-1.2859470807445708,1.2859470807445708,-1.2859470807445708,-1.2859470807445708,-1.2859470807445708,-1.2859470807445708,6.910003662109432,7.738003540039074,448.7200012207031,435.1783862304687,436.7239868164062,438.2695874023437,0.0,1.018801653092898,-1.6289938524626693,1.0,-1.6289938524626693,1.0019741680250511,1.0,-1.6289938524626693,1.014009736424255,1.0,1.6289938524626693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6289938524626693,1,1.6289938524626693,1,-1.6289938524626693,1,1.6289938524626693,1
