Date_KLAC_L01d,Open_KLAC_L01d,High_KLAC_L01d,Low_KLAC_L01d,Close_KLAC_L01d,Adj Close_KLAC_L01d,Volume_KLAC_L01d,Daily_Return_KLAC_L01d,Vol5_KLAC_L01d,Vol10_KLAC_L01d,Vol20_KLAC_L01d,Vol60_KLAC_L01d,SMA5_KLAC_L01d,SMA10_KLAC_L01d,SMA30_KLAC_L01d,SMA60_KLAC_L01d,SMA100_KLAC_L01d,EMA5_KLAC_L01d,EMA10_KLAC_L01d,EMA30_KLAC_L01d,EMA60_KLAC_L01d,EMA100_KLAC_L01d,Short12_KLAC_L01d,Long26_KLAC_L01d,MACD_KLAC_L01d,SIGNAL9_KLAC_L01d,Ret5/10_KLAC_L01d,Ret10/30_KLAC_L01d,Ret30/60_KLAC_L01d,Ret30/100_KLAC_L01d,Emaret5/10_KLAC_L01d,Emaret10/30_KLAC_L01d,Emaret30/60_KLAC_L01d,Emaret30/100_KLAC_L01d,RetMACD_KLAC_L01d,DayRange_KLAC_L01d,average20r_KLAC_L01d,PRVHI_KLAC_L01d,HitLevel_KLAC_L01d,hitlevel_2_KLAC_L01d,hitlevel_1.8_KLAC_L01d,positive_return_dummy,sma_ratio_L01d,RetMACD_L01d,R_sma_ratio_L01d,ret_sma_ratio_L01d,ema_ratio_L01d,R_ema_ratio_L01d,ret_ema_ratio_L01d,volatility_ratio_L01d,R_vol_ratio_L01d,ret_vol_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf,ret_ensemble,ensemble
2023-01-04,382.8500061035156,385.1700134277344,374.0899963378906,380.2300109863281,380.2300109863281,1187600.0,0.9773000431970892,1.7260191747909914,2.5489671929190045,2.325296811808643,2.767992712178762,376.2859985351562,378.6460021972656,384.947666422526,351.64000091552737,347.7049005126953,377.89804674235165,379.3644163453918,377.09580388109646,365.15544818371694,357.047586555737,380.0013170634685,378.6869604309324,1.3143566325360894,4.134054074178334,1.7778738054077663,1.7778738054077663,-1.7778738054077663,-1.7778738054077663,1.7778738054077663,1.7778738054077663,-1.7778738054077663,-1.7778738054077663,1.7778738054077663,7.670013427734375,11.194004821777344,385.1700134277344,359.7303817749024,362.0039825439453,364.2775833129882,0.0,0.9937672558315301,-0.9773000431970892,-1.0,-0.9773000431970892,0.9961346675126612,-1.0,-0.9773000431970892,0.8400660888945544,-1.0,-0.9773000431970892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,-1,,1,,-1,,1
2023-01-05,374.6799926757812,380.7900085449219,373.1199951171875,373.4700012207031,373.4700012207031,924900.0,-1.7778738054077663,1.9358056174170304,2.591632638121209,2.338884887997961,2.7018964387123448,377.4279968261719,377.402001953125,384.9930002848307,352.87550099690753,347.62760040283206,376.4220315684688,378.2927045045393,376.861881128813,365.4280564800116,357.37278288573634,378.9964992415046,378.30051900795246,0.6959802335521204,3.446439306053091,6.458348739751582,-6.458348739751582,6.458348739751582,6.458348739751582,-6.458348739751582,-6.458348739751582,6.458348739751582,6.458348739751582,-6.458348739751582,20.049987792968807,11.6675048828125,380.7900085449219,360.5432028198242,362.78200378417966,365.0208047485352,1.0,1.00006887847153,1.7778738054077663,1.0,1.7778738054077663,0.9950549589939341,-1.0,1.7778738054077663,0.8656456459569614,-1.0,1.7778738054077663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7778738054077663,1,1.7778738054077663,1,-1.7778738054077663,1,1.7778738054077663,1,-1.7778738054077663,1
2023-01-06,379.989990234375,397.75,377.7000122070312,397.5899963378906,397.5899963378906,1423400.0,6.458348739751582,3.23331685811681,3.2499339503004925,2.7507258728394257,2.6734294714174527,380.9739990234375,377.4830017089844,385.5066670735677,354.8200007120768,347.76030029296874,383.4780198249428,381.8013030196941,378.19917888423737,366.4825463114174,358.1691633501354,381.8570372563332,379.72936918054046,2.1276680757927693,3.182685060001027,2.701272751653352,-2.701272751653352,2.701272751653352,2.701272751653352,-2.701272751653352,2.701272751653352,2.701272751653352,2.701272751653352,-2.701272751653352,16.790008544921875,12.04100646972656,397.75,355.1214978027344,357.4549987792969,359.7884997558594,1.0,1.0092480914336495,-6.458348739751582,1.0,6.458348739751582,1.0043915952931208,1.0,-6.458348739751582,1.0289128261090765,1.0,-6.458348739751582,0.0,1.0,0.0,0.2588040828704834,0.2588040828704834,0.170722022652626,0.170722022652626,6.458348739751582,1,6.458348739751582,-1,6.458348739751582,-1,6.458348739751582,-1,6.458348739751582,1
2023-01-09,402.6300048828125,416.9100036621094,400.1199951171875,408.3299865722656,408.3299865722656,1955400.0,2.701272751653352,3.145910577813792,2.5952744764497973,2.779166118094392,2.6612543883926256,387.2339965820312,380.9309997558594,386.2633331298828,357.0453338623047,348.03630004882814,391.7620087407171,386.6247000292525,380.1431019608844,367.8545935330845,359.16244697829643,385.9297986895536,381.8479334317794,4.081865257774211,3.362521099555664,1.9445063312784745,-1.9445063312784745,1.9445063312784745,1.9445063312784745,-1.9445063312784745,1.9445063312784745,1.9445063312784745,1.9445063312784745,1.9445063312784745,10.360015869140568,11.912007141113277,416.9100036621094,371.2597857666016,373.66798706054686,376.0761883544922,1.0,1.016546295340131,-2.701272751653352,1.0,2.701272751653352,1.013287585379506,1.0,2.701272751653352,1.0443068239609308,1.0,2.701272751653352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.701272751653352,1,-2.701272751653352,-1,-2.701272751653352,-1,-2.701272751653352,1,2.701272751653352,1
2023-01-10,406.989990234375,416.7000122070312,406.3399963378906,416.2699890136719,416.2699890136719,979000.0,1.9445063312784745,2.9862833582242785,2.615700020330733,2.7986104223909165,2.664802260674268,395.1779968261719,384.8189971923828,387.47166646321614,359.34083353678386,348.44809997558593,399.9313354983688,392.01475257187417,382.4738688675159,369.4419835488415,360.2932893948385,390.5975202778794,384.3977153267344,6.19980495114504,3.92997786987354,0.691859840685731,-0.691859840685731,0.691859840685731,0.691859840685731,-0.691859840685731,0.691859840685731,0.691859840685731,0.691859840685731,0.691859840685731,8.239990234375,11.459005737304684,416.7000122070312,390.70358795166015,393.0859893798829,395.4683908081055,1.0,1.0269191482472741,1.9445063312784745,1.0,1.9445063312784745,1.0201946046023949,1.0,1.9445063312784745,1.0502131672924924,1.0,1.9445063312784745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9445063312784745,1,-1.9445063312784745,-1,-1.9445063312784745,1,1.9445063312784745,1,1.9445063312784745,1
2023-01-11,413.2699890136719,419.5199890136719,411.2799987792969,419.1499938964844,419.1499938964844,1230800.0,0.691859840685731,3.014765001138191,2.4479315938667803,2.775459762857507,2.544362349770707,402.9619934082031,389.6239959716797,388.94566650390624,361.9316665649414,348.81940002441405,406.3375549644073,396.9484328127124,384.84007048228807,371.0717543799117,361.4587686919008,394.9902085268956,386.9719581837529,8.018250343142654,4.747632364527362,-0.0190830426888475,-0.0190830426888475,-0.0190830426888475,-0.0190830426888475,0.0190830426888475,-0.0190830426888475,-0.0190830426888475,-0.0190830426888475,-0.0190830426888475,15.220001220703068,11.419505310058586,419.5199890136719,391.4901995849609,393.7820007324218,396.0738018798828,0.0,1.0342329979016307,0.691859840685731,1.0,0.691859840685731,1.0236532541145587,1.0,0.691859840685731,1.0908272412958893,1.0,0.691859840685731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.691859840685731,1,-0.691859840685731,-1,0.691859840685731,1,0.691859840685731,-1,0.691859840685731,1
2023-01-12,419.1499938964844,422.7000122070312,407.4800109863281,419.0700073242188,419.0700073242188,1505300.0,-0.0190830426888475,2.526271239802328,2.376723740499361,2.744470531947362,2.543375771833196,412.0819946289063,394.75499572753904,390.43700052897134,364.5291666666666,349.2920001220703,410.5817057510112,400.9705372693499,387.0484535043482,372.6454675912005,362.5995852984813,398.694792957253,389.3495914534171,9.345201503835938,5.667146192389078,0.2314651976400245,0.2314651976400245,0.2314651976400245,0.2314651976400245,-0.2314651976400245,0.2314651976400245,0.2314651976400245,0.2314651976400245,0.2314651976400245,8.699981689453182,11.239004516601558,422.7000122070312,394.39707733154296,396.6809783935547,398.9648794555664,1.0,1.0438930452784603,-0.0190830426888475,1.0,-0.0190830426888475,1.0239697623349444,1.0,-0.0190830426888475,1.0790660830936603,1.0,-0.0190830426888475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0190830426888475,1,0.0190830426888475,-1,-0.0190830426888475,1,0.0190830426888475,-1,-0.0190830426888475,1
2023-01-13,415.7900085449219,421.1499938964844,412.4500122070312,420.0400085449219,420.0400085449219,1615200.0,0.2314651976400245,1.167266346649939,2.293126223342933,2.7372343591889328,2.5387006283383418,416.5719970703125,398.772998046875,391.3333343505859,367.0504999796549,349.89440032958987,413.7344733489815,404.4377138649084,389.1769409263207,374.19938696673233,363.7370194221732,401.9786722784328,391.6229556824175,10.355716596015384,6.604860273114339,-0.9737158972210788,-0.9737158972210788,-0.9737158972210788,-0.9737158972210788,0.9737158972210788,-0.9737158972210788,-0.9737158972210788,-0.9737158972210788,-0.9737158972210788,6.839996337890682,10.761503601074216,421.1499938964844,397.97420227050776,400.22200317382806,402.4698040771484,0.0,1.0446344138409924,0.2314651976400245,1.0,0.2314651976400245,1.0229868757669283,1.0,0.2314651976400245,1.0782028919181925,1.0,0.2314651976400245,0.0,1.0,0.0,0.04824435,0.04824435,0.4057729542255401,0.4057729542255401,0.2314651976400245,1,-0.2314651976400245,-1,0.2314651976400245,1,-0.2314651976400245,-1,0.2314651976400245,1
2023-01-17,417.7300109863281,420.5299987792969,413.6900024414062,415.9500122070312,415.9500122070312,1046200.0,-0.9737158972210788,1.0675542770501814,2.3138824388144914,2.4356427897165536,2.5481018139976115,418.0960021972657,402.6649993896484,392.1740010579427,369.45033365885416,350.42940032958984,414.4729863016647,406.5308590180216,390.9042358476569,375.56825992543065,364.7709400713783,404.1281091905249,393.4249598694259,10.703149321099032,7.424518082711279,-0.2139715404057732,-0.2139715404057732,-0.2139715404057732,-0.2139715404057732,0.2139715404057732,-0.2139715404057732,-0.2139715404057732,-0.2139715404057732,-0.2139715404057732,13.510009765625,11.061503601074216,420.5299987792969,397.4746859741211,399.6269866943359,401.7792874145508,0.0,1.0383221855165146,-0.9737158972210788,1.0,-0.9737158972210788,1.0195363454150255,1.0,-0.9737158972210788,0.9558655687683745,-1.0,-0.9737158972210788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9737158972210788,1,0.9737158972210788,1,-0.9737158972210788,1,0.9737158972210788,1,-0.9737158972210788,1
2023-01-18,422.2099914550781,428.2799987792969,414.7699890136719,415.0599975585938,415.0599975585938,1183900.0,-0.2139715404057732,0.6145015346356305,2.318775001619552,2.4393777751995342,2.5467724307302606,417.85400390625,406.51600036621096,393.0240010579427,371.75116678873695,350.95330017089844,414.6686567206411,408.0816114799438,392.4626720870722,376.8630709953704,365.7667629919172,405.80993817022784,395.0275552538087,10.782382916419124,8.096091049452848,-3.1224380887846523,-3.1224380887846523,-3.1224380887846523,-3.1224380887846523,3.1224380887846523,-3.1224380887846523,-3.1224380887846523,-3.1224380887846523,-3.1224380887846523,12.970001220703182,11.390003967285152,428.2799987792969,396.1946908569336,398.40699157714846,400.6192922973633,0.0,1.0278906698133041,-0.2139715404057732,1.0,-0.2139715404057732,1.0161414899750292,1.0,-0.2139715404057732,0.9578310750364405,-1.0,0.2139715404057732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2139715404057732,1,-0.2139715404057732,1,-0.2139715404057732,1,-0.2139715404057732,-1,-0.2139715404057732,1
