Date_NXPI_L01d,Open_NXPI_L01d,High_NXPI_L01d,Low_NXPI_L01d,Close_NXPI_L01d,Adj Close_NXPI_L01d,Volume_NXPI_L01d,Daily_Return_NXPI_L01d,Vol5_NXPI_L01d,Vol10_NXPI_L01d,Vol20_NXPI_L01d,Vol60_NXPI_L01d,SMA5_NXPI_L01d,SMA10_NXPI_L01d,SMA30_NXPI_L01d,SMA60_NXPI_L01d,SMA100_NXPI_L01d,EMA5_NXPI_L01d,EMA10_NXPI_L01d,EMA30_NXPI_L01d,EMA60_NXPI_L01d,EMA100_NXPI_L01d,Short12_NXPI_L01d,Long26_NXPI_L01d,MACD_NXPI_L01d,SIGNAL9_NXPI_L01d,Ret5/10_NXPI_L01d,Ret10/30_NXPI_L01d,Ret30/60_NXPI_L01d,Ret30/100_NXPI_L01d,Emaret5/10_NXPI_L01d,Emaret10/30_NXPI_L01d,Emaret30/60_NXPI_L01d,Emaret30/100_NXPI_L01d,RetMACD_NXPI_L01d,DayRange_NXPI_L01d,average20r_NXPI_L01d,PRVHI_NXPI_L01d,HitLevel_NXPI_L01d,hitlevel_2_NXPI_L01d,hitlevel_1.8_NXPI_L01d,positive_return_dummy,sma_ratio_L01d,RetMACD_L01d,R_sma_ratio_L01d,ret_sma_ratio_L01d,ema_ratio_L01d,R_ema_ratio_L01d,ret_ema_ratio_L01d,volatility_ratio_L01d,R_vol_ratio_L01d,ret_vol_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf,ret_ensemble,ensemble
2023-01-04,158.2799987792969,160.3600006103516,156.1000061035156,157.9600067138672,157.9600067138672,1678400.0,1.8768162559390444,2.511866665381584,2.4074498729647944,2.3938529063250686,2.9260902616497613,156.1720001220703,157.2759979248047,165.22433369954427,158.69016698201497,161.11940048217772,156.93508338985723,158.19299718552298,161.55583863411323,161.75798418529612,163.05659917027586,158.82730587904774,161.3544857616447,-2.527179882596954,-1.6254446927321786,2.817176511705361,2.817176511705361,-2.817176511705361,2.817176511705361,-2.817176511705361,2.817176511705361,2.817176511705361,2.817176511705361,2.817176511705361,4.1599884033203125,5.129497528076163,160.3600006103516,148.88240158081055,149.934001159668,150.9856007385254,0.0,0.9518936733060556,-1.8768162559390444,-1.0,-1.8768162559390444,0.9791846492394106,-1.0,-1.8768162559390444,1.0056799507621372,1.0,1.8768162559390444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1,,1,,-1,,1,,1
2023-01-05,156.1000061035156,157.2599945068359,153.1000061035156,153.5099945068359,153.5099945068359,1692400.0,-2.817176511705361,2.853253721698409,2.555319235202865,2.374526809055672,2.926369378184134,156.53399963378905,156.67599792480468,164.71299997965494,158.79033355712892,160.77980041503906,155.7933870955168,157.34154215303442,161.03675191622438,161.48755829419906,162.8675574937721,158.00925797563056,160.77341233536256,-2.764154359732004,-1.853186626132144,-3.986717865268416,-3.986717865268416,3.986717865268416,-3.986717865268416,3.986717865268416,-3.986717865268416,-3.986717865268416,-3.986717865268416,-3.986717865268416,6.279998779296903,5.227997589111318,157.2599945068359,149.07510604858402,150.10100555419928,151.1269050598145,1.0,0.9512060246863151,2.817176511705361,-1.0,2.817176511705361,0.9770536245967486,-1.0,2.817176511705361,1.0761382964629878,1.0,-2.817176511705361,0.0,0.0,3.0,0.007848992,0.0047236583333333,0.9690656065940856,0.8454252481460571,2.817176511705361,-1,-2.817176511705361,-1,2.817176511705361,-1,-2.817176511705361,-1,-2.817176511705361,-1
2023-01-06,155.8500061035156,160.1699981689453,153.8899993896484,159.6300048828125,159.6300048828125,2063200.0,3.986717865268416,2.76895112198717,2.778256315930159,2.5551122277817764,2.9474470248013827,156.83600158691405,156.2959991455078,164.25366668701173,159.05500030517578,160.500400390625,157.07225969128206,157.75762628572136,160.94599404310102,161.42665490366178,162.80344754107983,158.25860365365855,160.68871548702552,-2.430111833366965,-1.968571667579108,0.8394388879924636,-0.8394388879924636,0.8394388879924636,-0.8394388879924636,0.8394388879924636,-0.8394388879924636,-0.8394388879924636,-0.8394388879924636,-0.8394388879924636,4.410003662109375,5.031497955322257,160.1699981689453,145.75839981079102,146.80399932861326,147.84959884643553,1.0,0.9515525729074444,-3.986717865268416,-1.0,-3.986717865268416,0.9801898284183089,-1.0,-3.986717865268416,1.087332401967371,1.0,3.986717865268416,0.0,0.0,1.0,0.002427086,0.002427086,0.9886646270751952,0.9886646270751952,-3.986717865268416,-1,-3.986717865268416,1,-3.986717865268416,-1,-3.986717865268416,-1,-3.986717865268416,1
2023-01-09,162.2899932861328,164.4499969482422,160.0399932861328,160.9700012207031,160.9700012207031,1834400.0,0.8394388879924636,2.775488991809796,2.513294830415586,2.319692497147253,2.928085046086045,157.42400207519532,156.64199981689453,163.77933349609376,159.39983367919922,160.2516003417969,158.37150686775576,158.34169445571803,160.94754289326892,161.41168265176148,162.7671416733496,158.67574174089617,160.70955146729796,-2.0338097264017847,-1.981619279343644,3.168295996049092,-3.168295996049092,3.168295996049092,-3.168295996049092,3.168295996049092,3.168295996049092,-3.168295996049092,-3.168295996049092,-3.168295996049092,4.270004272460909,5.021498107910148,164.4499969482422,149.10070266723633,150.1070022583008,151.11330184936526,1.0,0.9564210359949386,-0.8394388879924636,-1.0,-0.8394388879924636,0.9838093307253598,-1.0,-0.8394388879924636,1.0834603437767827,1.0,0.8394388879924636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8394388879924636,-1,0.8394388879924636,1,-0.8394388879924636,1,-0.8394388879924636,1,0.8394388879924636,1
2023-01-10,163.5500030517578,166.25,161.9799957275391,166.0700073242188,166.0700073242188,2219700.0,3.168295996049092,2.6525249799800537,2.6756135113505337,2.4364227710539947,2.943015463251664,159.6280029296875,157.48200073242188,163.5586669921875,159.78150049845377,160.11010040283202,160.93767368657677,159.7468422499909,161.27802446945924,161.5644146082355,162.83254495356485,159.81332106140735,161.1066222715143,-1.2933012101069608,-1.8439556654963072,1.601727154818018,-1.601727154818018,1.601727154818018,-1.601727154818018,-1.601727154818018,1.601727154818018,-1.601727154818018,-1.601727154818018,1.601727154818018,3.650009155273409,4.994998931884753,166.25,153.40270111083987,154.4070007324219,155.4113003540039,1.0,0.9628471766644082,-3.168295996049092,-1.0,-3.168295996049092,0.9905059463339452,-1.0,-3.168295996049092,1.0981729210292455,1.0,3.168295996049092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.168295996049092,-1,3.168295996049092,1,3.168295996049092,1,3.168295996049092,1,3.168295996049092,1
2023-01-11,166.6600036621094,168.8800048828125,165.2299957275391,168.7299957275391,168.7299957275391,2019200.0,1.601727154818018,2.6432798035866067,2.4666221097459737,2.4212826420322178,2.9040206103259054,161.78200073242186,158.97700042724608,163.71299997965494,160.29216715494792,159.96980041503906,163.53511436689757,161.38014288227237,161.7587968086902,161.79935169411428,162.9493261570099,161.18511716388917,161.6713166015902,-0.4861994377010603,-1.572404419937258,0.8771475278870869,-0.8771475278870869,0.8771475278870869,0.8771475278870869,-0.8771475278870869,0.8771475278870869,-0.8771475278870869,-0.8771475278870869,0.8771475278870869,4.479995727539091,4.754498291015613,168.8800048828125,155.26100234985356,156.2600021362305,157.25900192260744,1.0,0.9710713287704861,1.601727154818018,-1.0,-1.601727154818018,0.9976591447643762,-1.0,-1.601727154818018,1.0187253924538533,1.0,1.601727154818018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.601727154818018,-1,1.601727154818018,1,1.601727154818018,1,1.601727154818018,1,1.601727154818018,1
2023-01-12,170.0899963378906,171.8699951171875,167.3899993896484,170.2100067138672,170.2100067138672,1705000.0,0.8771475278870869,1.4171694206255858,2.331498301514915,2.424395870967956,2.893799684449539,165.12200317382815,160.8280014038086,163.89700012207032,160.77450052897134,159.86860046386718,165.7600784825541,162.98557266983505,162.3040361574113,162.07511087508976,163.09310200962094,162.5735617100396,162.30381216546257,0.2697495445770244,-1.2039736270344017,0.9458906919956376,-0.9458906919956376,0.9458906919956376,0.9458906919956376,-0.9458906919956376,0.9458906919956376,0.9458906919956376,0.9458906919956376,0.9458906919956376,3.729995727539091,4.622998046874988,171.8699951171875,158.42010864257816,159.37100830078128,160.32190795898438,1.0,0.9812748328768925,0.8771475278870869,-1.0,-0.8771475278870869,1.0041991347138328,1.0,-0.8771475278870869,0.961682177995151,-1.0,0.8771475278870869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8771475278870869,-1,0.8771475278870869,1,0.8771475278870869,1,0.8771475278870869,-1,0.8771475278870869,1
2023-01-13,168.6199951171875,171.9499969482422,168.2200012207031,171.8200073242188,171.8200073242188,2006400.0,0.9458906919956376,0.99045090885133,2.0709008169890324,2.408775607368571,2.893785653617387,167.56000366210938,162.19800262451173,163.76300048828125,161.28900070190429,159.86160049438476,167.780054763109,164.59183351608664,162.91796978107632,162.39461567670054,163.26591201585055,163.9960918045287,163.00871551055565,0.9873762939730568,-0.7657036428329098,-0.8671897506979656,0.8671897506979656,-0.8671897506979656,-0.8671897506979656,0.8671897506979656,-0.8671897506979656,-0.8671897506979656,-0.8671897506979656,-0.8671897506979656,2.990005493164091,4.519498443603503,171.9499969482422,161.69939941406253,162.62399902343753,163.5485986328125,0.0,0.9904435198481752,0.9458906919956376,-1.0,-0.9458906919956376,1.0102742732263335,1.0,0.9458906919956376,0.8597317287065006,-1.0,-0.9458906919956376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9458906919956376,-1,0.9458906919956376,1,0.9458906919956376,1,-0.9458906919956376,1,0.9458906919956376,1
2023-01-17,170.7100067138672,170.7799987792969,167.7899932861328,170.3300018310547,170.3300018310547,1991000.0,-0.8671897506979656,1.4545294158074855,2.125614452932044,2.252768111818481,2.8981786438398243,169.43200378417973,163.4280029296875,163.65933380126953,161.77250061035156,159.82550048828125,168.6300371190909,165.63513684608083,163.396165397204,162.65479227192526,163.40579498248826,164.9705395009173,163.5510330157778,1.4195064851395216,-0.3286616172384236,0.2054780960277633,-0.2054780960277633,0.2054780960277633,0.2054780960277633,-0.2054780960277633,0.2054780960277633,0.2054780960277633,0.2054780960277633,0.2054780960277633,4.760009765625,4.568999481201163,170.7799987792969,162.00710037231448,162.91100006103517,163.81489974975588,1.0,0.9985865097565231,-0.8671897506979656,-1.0,0.8671897506979656,1.0137027172175923,1.0,-0.8671897506979656,0.9435567033200786,-1.0,0.8671897506979656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8671897506979656,-1,-0.8671897506979656,-1,-0.8671897506979656,1,-0.8671897506979656,-1,-0.8671897506979656,1
2023-01-18,172.4199981689453,175.3000030517578,170.5399932861328,170.6799926757812,170.6799926757812,1565800.0,0.2054780960277633,0.9350097599853852,1.9287828475873283,2.2391760022505185,2.886755690508376,170.3540008544922,164.99100189208986,163.64666697184245,162.29983393351236,159.8022004699707,169.31335563798768,166.55238336057178,163.86608973775736,162.91791359664185,163.54983850116733,165.84891691243485,164.07910410170396,1.7698128107308833,0.0910332683554377,-3.327860862151983,-3.327860862151983,-3.327860862151983,-3.327860862151983,3.327860862151983,-3.327860862151983,-3.327860862151983,-3.327860862151983,-3.327860862151983,4.399993896484318,4.49899902343749,175.3000030517578,160.72819992065433,161.64199981689458,162.5557997131348,0.0,1.0082148628207546,0.2054780960277633,1.0,-0.2054780960277633,1.0163932246574836,1.0,0.2054780960277633,0.8613806353983676,-1.0,-0.2054780960277633,0.0,0.0,1.0,0.008538801,0.008538801,0.9879183173179626,0.9879183173179626,-0.2054780960277633,-1,-0.2054780960277633,-1,0.2054780960277633,1,-0.2054780960277633,-1,0.2054780960277633,1
