Date_TYL_L01d,Open_TYL_L01d,High_TYL_L01d,Low_TYL_L01d,Close_TYL_L01d,Adj Close_TYL_L01d,Volume_TYL_L01d,Daily_Return_TYL_L01d,Vol5_TYL_L01d,Vol10_TYL_L01d,Vol20_TYL_L01d,Vol60_TYL_L01d,SMA5_TYL_L01d,SMA10_TYL_L01d,SMA30_TYL_L01d,SMA60_TYL_L01d,SMA100_TYL_L01d,EMA5_TYL_L01d,EMA10_TYL_L01d,EMA30_TYL_L01d,EMA60_TYL_L01d,EMA100_TYL_L01d,Short12_TYL_L01d,Long26_TYL_L01d,MACD_TYL_L01d,SIGNAL9_TYL_L01d,Ret5/10_TYL_L01d,Ret10/30_TYL_L01d,Ret30/60_TYL_L01d,Ret30/100_TYL_L01d,Emaret5/10_TYL_L01d,Emaret10/30_TYL_L01d,Emaret30/60_TYL_L01d,Emaret30/100_TYL_L01d,RetMACD_TYL_L01d,DayRange_TYL_L01d,average20r_TYL_L01d,PRVHI_TYL_L01d,HitLevel_TYL_L01d,hitlevel_2_TYL_L01d,hitlevel_1.8_TYL_L01d,positive_return_dummy,sma_ratio_L01d,RetMACD_L01d,R_sma_ratio_L01d,ret_sma_ratio_L01d,ema_ratio_L01d,R_ema_ratio_L01d,ret_ema_ratio_L01d,volatility_ratio_L01d,R_vol_ratio_L01d,ret_vol_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2023-01-04,322.6199951171875,324.8399963378906,315.8900146484375,320.6799926757812,320.6799926757812,217800.0,0.4227620832001182,2.040062573285833,1.9197144618392437,2.034479369135522,2.6645695710133173,320.5599975585937,321.4469970703125,325.3679982503255,323.6818328857422,342.7607995605469,320.89170743334233,321.5345381678281,323.6318245301962,329.14431112548345,338.494656595111,321.8037836711049,323.18570196061995,-1.3819182895149993,-1.1348399429822609,4.415618057103295,4.415618057103295,-4.415618057103295,4.415618057103295,-4.415618057103295,4.415618057103295,4.415618057103295,4.415618057103295,4.415618057103295,11.059997558593809,9.62300109863283,324.8399963378906,310.0328973388671,311.9789978027343,313.9250982666015,0.0,0.9879490263298839,-0.4227620832001182,-1.0,-0.4227620832001182,0.9560913834965113,-1.0,-0.4227620832001182,0.9435900363319765,-1.0,-0.4227620832001182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,-1,,-1,,-1
2023-01-05,316.8599853515625,317.010009765625,305.9500122070312,306.5199890136719,306.5199890136719,285300.0,-4.415618057103295,2.803238734369998,2.3844023676603747,2.169659478054927,2.702156734532198,318.8819946289062,320.1739959716797,324.857997639974,323.06483256022136,341.7325994873047,316.10113462678555,318.8046201397997,322.5278351420334,328.4025300726372,337.8614948608251,319.45243064688447,321.9512047052905,-2.4987740584060134,-1.4076267660670114,-1.4322115378392792,-1.4322115378392792,1.4322115378392792,-1.4322115378392792,1.4322115378392792,-1.4322115378392792,-1.4322115378392792,-1.4322115378392792,-1.4322115378392792,10.830017089843809,9.770501708984389,317.010009765625,303.6693939208984,305.59399414062494,307.5185943603515,1.0,0.9855813872451268,4.415618057103295,-1.0,4.415618057103295,0.9546155452691996,-1.0,4.415618057103295,1.0989753884319036,1.0,4.415618057103295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.415618057103295,1,4.415618057103295,1,4.415618057103295,-1,4.415618057103295,-1
2023-01-06,309.6499938964844,312.5700073242188,301.739990234375,310.9100036621094,310.9100036621094,208200.0,1.4322115378392792,2.2109256655152505,2.13325186692682,2.162395054860755,2.6615359971391253,315.9699951171875,318.30299682617186,324.3239980061849,322.7506657918294,340.687399597168,314.3707576385602,317.3692353256742,321.7782976271996,327.8290046165543,337.32780196580103,318.13821111076527,321.1333379613511,-2.995126850585848,-1.7251267829707788,-2.5988184609996625,-2.5988184609996625,2.5988184609996625,-2.5988184609996625,2.5988184609996625,-2.5988184609996625,-2.5988184609996625,-2.5988184609996625,-2.5988184609996625,13.839996337890623,9.828500366210951,312.5700073242188,295.51490600585936,297.4690063476562,299.4231066894531,1.0,0.9814352276827254,-1.4322115378392792,-1.0,-1.4322115378392792,0.9539038755537326,-1.0,-1.4322115378392792,0.9865227272563238,-1.0,1.4322115378392792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4322115378392792,1,1.4322115378392792,-1,-1.4322115378392792,-1,-1.4322115378392792,-1
2023-01-09,315.2000122070312,327.25,313.4100036621094,318.989990234375,318.989990234375,327300.0,2.5988184609996625,2.7030486678057017,2.24205526938478,2.1269954778996536,2.682935593674149,315.28599243164064,318.0189971923828,323.8556640625,322.5979990641276,339.7687994384765,315.9105018371652,317.663918036347,321.5984068276626,327.53920086631894,336.9646769810203,318.2692540528591,320.9745714630566,-2.7053174101974946,-1.921164908416122,1.855852249723115,1.855852249723115,-1.855852249723115,1.855852249723115,-1.855852249723115,1.855852249723115,1.855852249723115,1.855852249723115,1.855852249723115,10.230010986328123,9.969500732421889,327.25,290.9473065185547,292.9130065917969,294.8787066650391,0.0,0.9819775674233976,-2.5988184609996625,-1.0,-2.5988184609996625,0.9543979793638037,-1.0,-2.5988184609996625,1.0540949864165883,1.0,-2.5988184609996625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5988184609996625,1,-2.5988184609996625,-1,-2.5988184609996625,-1,-2.5988184609996625,-1
2023-01-10,318.2000122070312,322.2300109863281,312.0,313.0700073242188,313.0700073242188,243000.0,-1.855852249723115,2.795751000830998,2.3106823872754347,2.1389907265966337,2.690316629722844,314.03399658203125,317.3139984130859,323.2619974772135,322.40333251953126,338.8549993896484,314.9636703328497,316.8286615432328,321.0481875048597,327.06480107805334,336.4915152056381,317.46936994076054,320.3890481935131,-2.919678252752533,-2.120867577283404,-1.6034717143865722,-1.6034717143865722,1.6034717143865722,-1.6034717143865722,1.6034717143865722,-1.6034717143865722,-1.6034717143865722,-1.6034717143865722,-1.6034717143865722,7.94000244140625,9.967001342773452,322.2300109863281,305.31709838867187,307.3109985351562,309.3048986816406,1.0,0.9816000670955859,1.855852249723115,-1.0,1.855852249723115,0.9541048525656267,-1.0,1.855852249723115,1.080267604035844,1.0,-1.855852249723115,0.0,0.0,1.0,0.047485903,0.047485903,0.7427837252616882,0.7427837252616882,-1.855852249723115,1,1.855852249723115,-1,1.855852249723115,-1,1.855852249723115,-1
2023-01-11,315.3800048828125,318.0899963378906,310.1499938964844,318.0899963378906,318.0899963378906,378300.0,1.6034717143865722,2.9256167478996056,2.3788125691140958,2.167681870848308,2.6743097238315188,313.5159973144531,317.0379974365234,322.9739969889323,322.4409993489583,337.9777993774414,316.0057790011967,317.05799514226146,320.8573364618295,326.7705451849332,336.12712869340544,317.5648509249344,320.21874805605955,-2.653897131125177,-2.227473488051759,0.4809955663212932,0.4809955663212932,-0.4809955663212932,0.4809955663212932,-0.4809955663212932,0.4809955663212932,0.4809955663212932,0.4809955663212932,0.4809955663212932,10.709991455078182,9.547000122070326,318.0899963378906,300.30260803222654,302.29600830078124,304.28940856933593,0.0,0.981620812796851,-1.6034717143865722,-1.0,-1.6034717143865722,0.9545713781243046,-1.0,-1.6034717143865722,1.0973993006562182,1.0,1.6034717143865722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6034717143865722,1,-1.6034717143865722,1,-1.6034717143865722,-1,-1.6034717143865722,-1
2023-01-12,320.2799987792969,321.4100036621094,310.7000122070312,316.5599975585938,316.5599975585938,295600.0,-0.4809955663212932,1.7942163250075758,2.302448724574893,2.0442695657916112,2.6407081841319524,315.5239990234375,317.2029968261719,322.7209971110026,322.2794993082682,337.17039947509767,316.1905185203291,316.9674501270492,320.580088790653,326.4357731316106,335.73966075014187,317.4102580993435,319.9477295006917,-2.537471401348228,-2.2894730707110527,-0.0631830327816994,-0.0631830327816994,0.0631830327816994,-0.0631830327816994,0.0631830327816994,-0.0631830327816994,-0.0631830327816994,-0.0631830327816994,-0.0631830327816994,7.380004882812614,9.3050003051758,321.4100036621094,297.0865960693359,298.99599609375,300.90539611816405,1.0,0.9829016384609994,0.4809955663212932,-1.0,0.4809955663212932,0.9548472410866864,-1.0,0.4809955663212932,1.126294087190652,1.0,-0.4809955663212932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4809955663212932,1,-0.4809955663212932,1,0.4809955663212932,1,0.4809955663212932,1
2023-01-13,312.260009765625,317.3200073242188,309.9400024414062,316.760009765625,316.760009765625,278700.0,0.0631830327816994,1.7507567045920691,1.9969387546617368,2.045230663769625,2.5868645443161955,316.6940002441406,316.3319976806641,321.85499776204426,321.90233256022134,336.43949951171874,316.3803489354277,316.9297336976993,320.33363207936094,326.1185349884635,335.3638260771811,317.31021989415603,319.71160211290896,-2.401382218752929,-2.311854900319428,0.7450389186781138,-0.7450389186781138,-0.7450389186781138,-0.7450389186781138,0.7450389186781138,-0.7450389186781138,-0.7450389186781138,-0.7450389186781138,-0.7450389186781138,6.44000244140625,9.019000244140646,317.3200073242188,300.9390029907226,302.80000305175776,304.6610031127929,1.0,0.9828400984300902,-0.0631830327816994,-1.0,-0.0631830327816994,0.9551824232994017,-1.0,-0.0631830327816994,0.9763880378074911,-1.0,0.0631830327816994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0631830327816994,1,0.0631830327816994,-1,0.0631830327816994,-1,0.0631830327816994,-1
2023-01-17,317.3900146484375,319.7699890136719,313.3299865722656,319.1199951171875,319.1199951171875,280300.0,0.7450389186781138,1.304283381036396,2.003577685503092,1.9039037447092069,2.5868229417270063,316.7200012207031,316.00299682617185,320.75133056640624,321.6148325602214,335.75789947509764,317.29356432934765,317.3279630466972,320.255332920511,325.8890746648151,335.0421660581713,317.5886468515455,319.66777937248514,-2.079132520939652,-2.265310424443473,-4.383927816631354,4.383927816631354,4.383927816631354,4.383927816631354,-4.383927816631354,4.383927816631354,4.383927816631354,4.383927816631354,-4.383927816631354,19.199981689453068,9.752999877929708,319.7699890136719,297.4782067871094,299.2820068359375,301.08580688476565,0.0,0.9851962149873255,-0.7450389186781138,-1.0,-0.7450389186781138,0.9558657547149068,-1.0,-0.7450389186781138,1.0523524054568782,1.0,-0.7450389186781138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7450389186781138,1,-0.7450389186781138,-1,-0.7450389186781138,-1,-0.7450389186781138,-1
2023-01-18,321.25,323.7699890136719,304.5700073242188,305.1300048828125,305.1300048828125,293900.0,-4.383927816631354,2.3117476750334687,2.419412152124276,2.1342006406926197,2.64596938041785,315.1320007324219,314.58299865722654,319.51499735514324,321.12433268229165,334.93589965820314,313.23904451383595,315.1101524714454,319.27950530517563,325.2084494260609,334.44984603489684,315.67193270250965,318.59090718806493,-2.9189744855552817,-2.396043236665835,0.0688203230484572,-0.0688203230484572,-0.0688203230484572,-0.0688203230484572,0.0688203230484572,-0.0688203230484572,-0.0688203230484572,-0.0688203230484572,-0.0688203230484572,5.779998779296932,9.658999633789085,323.7699890136719,298.3133892822265,300.26398925781245,302.2145892333984,1.0,0.9845641089190104,-4.383927816631354,-1.0,4.383927816631354,0.9546409098118158,-1.0,4.383927816631354,1.1336385651815266,1.0,-4.383927816631354,0.0,0.0,1.0,0.007594218,0.007594218,0.904444695,0.904444695,-4.383927816631354,1,4.383927816631354,1,4.383927816631354,1,4.383927816631354,1
