Date_STX_L01d,Open_STX_L01d,High_STX_L01d,Low_STX_L01d,Close_STX_L01d,Adj Close_STX_L01d,Volume_STX_L01d,Daily_Return_STX_L01d,Vol5_STX_L01d,Vol10_STX_L01d,Vol20_STX_L01d,Vol60_STX_L01d,SMA5_STX_L01d,SMA10_STX_L01d,SMA30_STX_L01d,SMA60_STX_L01d,SMA100_STX_L01d,EMA5_STX_L01d,EMA10_STX_L01d,EMA30_STX_L01d,EMA60_STX_L01d,EMA100_STX_L01d,Short12_STX_L01d,Long26_STX_L01d,MACD_STX_L01d,SIGNAL9_STX_L01d,Ret5/10_STX_L01d,Ret10/30_STX_L01d,Ret30/60_STX_L01d,Ret30/100_STX_L01d,Emaret5/10_STX_L01d,Emaret10/30_STX_L01d,Emaret30/60_STX_L01d,Emaret30/100_STX_L01d,RetMACD_STX_L01d,DayRange_STX_L01d,average20r_STX_L01d,PRVHI_STX_L01d,HitLevel_STX_L01d,hitlevel_2_STX_L01d,hitlevel_1.8_STX_L01d,positive_return_dummy,sma_ratio_L01d,RetMACD_L01d,R_sma_ratio_L01d,ret_sma_ratio_L01d,ema_ratio_L01d,R_ema_ratio_L01d,ret_ema_ratio_L01d,volatility_ratio_L01d,R_vol_ratio_L01d,ret_vol_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2024-01-03,81.30999755859375,82.3499984741211,80.06999969482422,80.43000030517578,80.43000030517578,2874600.0,-2.7331020310851915,1.833658963321952,2.2244376081766952,1.9862744252636304,1.7953393739068302,84.19200134277344,84.30400161743164,81.21399993896485,75.57233301798503,71.6944998550415,83.2166328794425,83.68176487841319,81.05601237080279,77.06062385965366,73.60913505177291,83.57823798895754,81.68353658959272,1.89470139936482,2.536887444912792,-0.4227232831040357,0.4227232831040357,0.4227232831040357,0.4227232831040357,-0.4227232831040357,-0.4227232831040357,0.4227232831040357,0.4227232831040357,-0.4227232831040357,1.5600051879882812,1.697500991821289,82.3499984741211,81.07320167541504,81.41200180053711,81.75080192565918,1.0,1.0746525440684382,2.7331020310851915,1.0,-2.7331020310851915,1.051847341885341,1.0,-2.7331020310851915,1.1063503948789957,1.0,-2.7331020310851915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,-1,,1,,1
2024-01-04,79.83999633789062,81.37000274658203,79.80999755859375,80.7699966430664,80.7699966430664,1361600.0,0.4227232831040357,1.946371807150176,2.2383485234113536,1.9174313508038796,1.7953419742788608,83.21000061035156,83.99100112915039,81.33766657511393,75.81466623942057,71.83369983673096,82.40108746731714,83.1523524719865,81.0375597432069,77.18224263943769,73.75093429120446,83.14620085882045,81.61586696392409,1.5303338948963583,2.3355767349095053,0.6066582693260449,-0.6066582693260449,-0.6066582693260449,-0.6066582693260449,0.6066582693260449,0.6066582693260449,-0.6066582693260449,-0.6066582693260449,0.6066582693260449,2.0100021362304688,1.7155010223388671,81.37000274658203,78.61549629211426,78.95499649047852,79.29449668884277,0.0,1.0728487060571088,-0.4227232831040357,1.0,0.4227232831040357,1.0499508302936933,1.0,0.4227232831040357,1.0680034100879632,1.0,0.4227232831040357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4227232831040357,1,-0.4227232831040357,-1,0.4227232831040357,-1,0.4227232831040357,-1
2024-01-05,81.12999725341797,81.81999969482422,79.80999755859375,80.27999877929688,80.27999877929688,1395200.0,-0.6066582693260449,1.4759587166932813,2.1203746677490294,1.915909664911032,1.799374036229534,81.90800018310547,83.83400115966796,81.4783332824707,76.04299952189128,71.95839984893799,81.69405790464373,82.63010634604292,80.98868484230948,77.28380841451504,73.88022269690926,82.7052466927399,81.51691376506281,1.188332927677095,2.1061279734630234,-0.8719538967123658,0.8719538967123658,0.8719538967123658,0.8719538967123658,-0.8719538967123658,-0.8719538967123658,0.8719538967123658,0.8719538967123658,-0.8719538967123658,1.2900009155273438,1.706501007080078,81.81999969482422,77.59590049743652,77.93900070190429,78.28210090637207,1.0,1.071477108935119,0.6066582693260449,1.0,-0.6066582693260449,1.0479385851163439,1.0,-0.6066582693260449,1.0647645382978241,1.0,-0.6066582693260449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6066582693260449,1,0.6066582693260449,1,0.6066582693260449,1,0.6066582693260449,1
2024-01-08,80.06999969482422,81.36000061035156,80.06999969482422,80.9800033569336,80.9800033569336,2167300.0,0.8719538967123658,1.8204682716681375,1.534093746564967,1.9066764029786296,1.7168310492027636,81.03000030517578,83.40200119018554,81.6259999593099,76.2333329518636,72.11319988250733,81.45603972207368,82.3300876207503,80.98812474647879,77.4049951339386,74.02081241294934,82.4398246410774,81.47714262371991,0.96268201735748,1.8774387822419147,1.07434269019148,-1.07434269019148,-1.07434269019148,-1.07434269019148,1.07434269019148,1.07434269019148,-1.07434269019148,-1.07434269019148,1.07434269019148,0.8600006103515625,1.6310009002685546,81.36000061035156,78.06569747924804,78.40699768066406,78.74829788208008,0.0,1.070738964159568,-0.8719538967123658,1.0,0.8719538967123658,1.0462906768011557,1.0,0.8719538967123658,1.1105789377842528,1.0,0.8719538967123658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8719538967123658,1,0.8719538967123658,1,0.8719538967123658,1,0.8719538967123658,1
2024-01-09,79.94999694824219,80.26000213623047,79.4000015258789,80.11000061035156,80.11000061035156,1471700.0,-1.07434269019148,1.4128807697663044,1.5384425456281394,1.8556498203160607,1.7240584171680466,80.51399993896484,82.89700088500976,81.76033325195313,76.41266632080078,72.27239986419677,81.00736001816631,81.92643543704145,80.93147157640607,77.49368383808329,74.14139039705631,82.08139017481189,81.37587284495189,0.705517329860001,1.643054491765532,-3.1831269907995847,3.1831269907995847,3.1831269907995847,3.1831269907995847,-3.1831269907995847,-3.1831269907995847,3.1831269907995847,3.1831269907995847,-3.1831269907995847,3.029998779296875,1.694500732421875,80.26000213623047,77.77179862976074,78.09799880981446,78.42419898986816,1.0,1.0699840378387193,1.07434269019148,1.0,-1.07434269019148,1.044362166928414,1.0,-1.07434269019148,1.076326533856183,1.0,-1.07434269019148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.07434269019148,1,-1.07434269019148,1,-1.07434269019148,1,-1.07434269019148,1
2024-01-10,79.9800033569336,82.75,79.72000122070312,82.66000366210938,82.66000366210938,2260200.0,3.1831269907995847,1.6605060104539189,1.9148423450696312,1.953061140694158,1.7520066942565575,80.96000061035156,82.5760009765625,81.93033345540364,76.64983304341634,72.44969989776611,81.558241232814,82.0598114779629,81.0429897754837,77.66307137329726,74.31007580824549,82.17040763439611,81.47099364622281,0.6994139881733048,1.4543263910470867,1.1129999486820328,-1.1129999486820328,-1.1129999486820328,-1.1129999486820328,1.1129999486820328,1.1129999486820328,-1.1129999486820328,-1.1129999486820328,1.1129999486820328,2.4499969482421875,1.7500007629394532,82.75,76.53210052490235,76.87100067138672,77.20990081787109,0.0,1.0688912187061947,-3.1831269907995847,1.0,3.1831269907995847,1.0435202773006549,1.0,3.1831269907995847,1.1147566656547025,1.0,3.1831269907995847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1831269907995847,1,3.1831269907995847,1,3.1831269907995847,1,3.1831269907995847,1
2024-01-11,81.47000122070312,81.83999633789062,79.38999938964844,81.73999786376953,81.73999786376953,2752000.0,-1.1129999486820328,1.8258937436348768,1.9281872452121191,1.962101907394335,1.760885704392663,81.15400085449218,82.18200073242187,82.09000015258789,76.8629997253418,72.6235998916626,81.61882677646585,82.00166354810955,81.08795803924409,77.79674109429635,74.45720297766181,82.10419074660742,81.4909198845596,0.6132708620478127,1.286115285247232,-1.2723280434392013,1.2723280434392013,1.2723280434392013,1.2723280434392013,-1.2723280434392013,-1.2723280434392013,1.2723280434392013,1.2723280434392013,-1.2723280434392013,0.9500045776367188,1.633000946044922,81.83999633789062,78.8999983215332,79.2499984741211,79.59999862670898,1.0,1.0680041170123984,1.1129999486820328,1.0,-1.1129999486820328,1.0423053317999336,1.0,-1.1129999486820328,1.1142698827639541,1.0,-1.1129999486820328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1129999486820328,1,-1.1129999486820328,1,-1.1129999486820328,1,-1.1129999486820328,1
2024-01-12,82.41000366210938,82.83000183105469,81.87999725341797,82.77999877929688,82.77999877929688,2112600.0,1.2723280434392013,1.7980821397864557,1.925863238555521,1.8195871433943709,1.7648332306829286,81.65400085449218,81.78100051879883,82.23333333333333,77.0936663309733,72.79639987945556,82.00588411074287,82.14317904468905,81.19712195795717,77.96012659216522,74.62201081531795,82.20816121317503,81.5864072100957,0.6217540030793316,1.153243028813652,-2.4522817217105035,-2.4522817217105035,2.4522817217105035,2.4522817217105035,-2.4522817217105035,-2.4522817217105035,2.4522817217105035,2.4522817217105035,-2.4522817217105035,3.0100021362304688,1.6435009002685548,82.83000183105469,78.2473942565918,78.57399444580078,78.90059463500977,1.0,1.0666678243099084,-1.2723280434392013,1.0,1.2723280434392013,1.041521166104895,1.0,1.2723280434392013,1.0310249783149508,1.0,1.2723280434392013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2723280434392013,1,1.2723280434392013,1,1.2723280434392013,1,1.2723280434392013,1
2024-01-16,83.61000061035156,85.37000274658203,82.36000061035156,84.80999755859375,84.80999755859375,3012300.0,2.4522817217105035,1.9812470006250755,2.0754702809343235,1.909884687852099,1.781114306122596,82.41999969482421,81.725,82.4236666361491,77.36583290100097,72.98559986114502,82.94058859335983,82.62805513812626,81.43021070638534,78.18471252549075,74.82375312706598,82.60844372785485,81.8251916803548,0.7832520475000422,1.07924483255093,-1.745072244008213,1.745072244008213,-1.745072244008213,-1.745072244008213,1.745072244008213,-1.745072244008213,-1.745072244008213,-1.745072244008213,1.745072244008213,2.3199996948242188,1.6900009155273437,85.37000274658203,79.21429985046387,79.54300003051758,79.87170021057129,0.0,1.0653755481650438,-2.4522817217105035,1.0,2.4522817217105035,1.041510649282447,1.0,2.4522817217105035,1.072297651693018,1.0,2.4522817217105035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4522817217105035,1,2.4522817217105035,-1,2.4522817217105035,1,2.4522817217105035,-1
2024-01-17,84.70999908447266,84.76000213623047,82.44000244140625,83.33000183105469,83.33000183105469,2412400.0,-1.745072244008213,2.1661539153477145,1.882474880969483,1.930498800170724,1.7670711833023065,83.06399993896484,81.78899993896485,82.56200002034505,77.64016621907552,73.15729984283448,83.07039300592479,82.75568180956779,81.55277787571885,78.35341053550924,74.9921936954618,82.71945266680868,81.93665909892518,0.7827935678835019,1.0199545796174443,0.7680299719013425,-0.7680299719013425,0.7680299719013425,0.7680299719013425,-0.7680299719013425,0.7680299719013425,0.7680299719013425,0.7680299719013425,-0.7680299719013425,3.180000305175781,1.7950008392333985,84.76000213623047,81.65200073242187,81.99000091552735,82.32800109863281,1.0,1.0633928807852073,1.745072244008213,1.0,-1.745072244008213,1.040832521754234,1.0,-1.745072244008213,1.092485021776544,1.0,-1.745072244008213,0.0,0.0,1.0,0.001343196,0.001343196,0.993123114,0.993123114,-1.745072244008213,1,1.745072244008213,-1,-1.745072244008213,1,1.745072244008213,-1
