Date_FSLR_L01d,Open_FSLR_L01d,High_FSLR_L01d,Low_FSLR_L01d,Close_FSLR_L01d,Adj Close_FSLR_L01d,Volume_FSLR_L01d,Daily_Return_FSLR_L01d,Vol5_FSLR_L01d,Vol10_FSLR_L01d,Vol20_FSLR_L01d,Vol60_FSLR_L01d,SMA5_FSLR_L01d,SMA10_FSLR_L01d,SMA30_FSLR_L01d,SMA60_FSLR_L01d,SMA100_FSLR_L01d,EMA5_FSLR_L01d,EMA10_FSLR_L01d,EMA30_FSLR_L01d,EMA60_FSLR_L01d,EMA100_FSLR_L01d,Short12_FSLR_L01d,Long26_FSLR_L01d,MACD_FSLR_L01d,SIGNAL9_FSLR_L01d,Ret5/10_FSLR_L01d,Ret10/30_FSLR_L01d,Ret30/60_FSLR_L01d,Ret30/100_FSLR_L01d,Emaret5/10_FSLR_L01d,Emaret10/30_FSLR_L01d,Emaret30/60_FSLR_L01d,Emaret30/100_FSLR_L01d,RetMACD_FSLR_L01d,DayRange_FSLR_L01d,average20r_FSLR_L01d,PRVHI_FSLR_L01d,HitLevel_FSLR_L01d,hitlevel_2_FSLR_L01d,hitlevel_1.8_FSLR_L01d,positive_return_dummy,sma_ratio_L01d,RetMACD_L01d,R_sma_ratio_L01d,ret_sma_ratio_L01d,ema_ratio_L01d,R_ema_ratio_L01d,ret_ema_ratio_L01d,volatility_ratio_L01d,R_vol_ratio_L01d,ret_vol_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf,ret_ensemble,ensemble
2023-01-04,146.6499938964844,147.8099975585938,145.0,146.7799987792969,146.7799987792969,2137700.0,0.5755764861165892,2.0532962822941125,2.4415437133369857,2.540371735391889,2.912010663201699,147.49199829101562,151.99699859619142,158.41566670735676,149.19683354695638,140.87190017700195,148.29366933044332,150.68836104735405,153.60183876707688,148.3488553498706,138.40343978485564,151.44395593898392,153.70857643904893,-2.264620500065007,-0.7454096687679517,0.8992996841582607,0.8992996841582607,-0.8992996841582607,-0.8992996841582607,0.8992996841582607,0.8992996841582607,0.8992996841582607,-0.8992996841582607,0.8992996841582607,5.210006713867102,6.456501007080074,147.8099975585938,137.7715966796875,139.10599670410156,140.44039672851562,0.0,1.0617897373639567,-0.5755764861165892,1.0,0.5755764861165892,1.0354096659850693,1.0,0.5755764861165892,0.8723772091544473,-1.0,-0.5755764861165892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,-1,,-1,,-1,,1
2023-01-05,145.6000061035156,147.0200042724609,141.8099975585938,145.4600067138672,145.4600067138672,1868500.0,-0.8992996841582607,1.6851215473918295,2.4357719435455945,2.233520215261757,2.912631560135099,147.35,150.88399963378907,157.75133361816407,149.43683369954428,141.14680023193358,147.34911512491794,149.73775116853824,153.07655927977305,148.25413900114916,138.54317378344993,150.52334836588903,153.09757127422066,-2.5742229083316204,-1.1111723166806855,-7.795954774151364,-7.795954774151364,7.795954774151364,7.795954774151364,-7.795954774151364,-7.795954774151364,-7.795954774151364,7.795954774151364,-7.795954774151364,9.660003662109403,6.65500106811523,147.0200042724609,133.60569534301766,134.89699554443365,136.18829574584967,1.0,1.0556388924522906,0.8992996841582607,1.0,-0.8992996841582607,1.0325280650585176,1.0,-0.8992996841582607,0.7668392548620732,-1.0,0.8992996841582607,0.0,0.0,3.0,0.2631851732730865,0.0894885370910288,0.983739436,0.8975900810060934,-0.8992996841582607,1,0.8992996841582607,-1,0.8992996841582607,-1,0.8992996841582607,-1,-0.8992996841582607,1
2023-01-06,148.1999969482422,157.1600036621094,147.5,156.8000030517578,156.8000030517578,2868300.0,7.795954774151364,3.96089923522491,3.435285094462925,2.8572042681497942,3.0726470055362025,148.9540008544922,150.35800018310547,157.38933359781902,149.86150029500325,141.53260025024414,150.49941110053123,151.02179696548723,153.3167814586108,148.53433126510353,138.90469515509955,151.4889875483304,153.37182547996414,-1.882837931633759,-1.2655054396713004,-1.5114764483806755,-1.5114764483806755,1.5114764483806755,1.5114764483806755,-1.5114764483806755,-1.5114764483806755,-1.5114764483806755,1.5114764483806755,-1.5114764483806755,7.2100067138671875,6.744501495361325,157.1600036621094,132.37900192260742,133.71000213623046,135.0410023498535,1.0,1.0502319360742898,-7.795954774151364,1.0,7.795954774151364,1.0321976081406496,1.0,7.795954774151364,0.9298836680561646,-1.0,-7.795954774151364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.795954774151364,1,-7.795954774151364,1,-7.795954774151364,1,-7.795954774151364,1,7.795954774151364,1
2023-01-09,157.5500030517578,162.3500061035156,155.1399993896484,159.1699981689453,159.1699981689453,2418300.0,1.5114764483806755,3.955416099219085,3.3118771772686,2.85329917845828,3.036887028225144,150.8300018310547,150.58600006103515,157.0460001627604,150.3996669769287,141.9544002532959,153.3896067900026,152.50328809338868,153.69440834314852,148.8830416553934,139.3059882840866,152.67068148996344,153.801319753222,-1.130638263258561,-1.2385320043887524,7.438585458374797,-7.438585458374797,7.438585458374797,7.438585458374797,-7.438585458374797,7.438585458374797,-7.438585458374797,7.438585458374797,7.438585458374797,13.210006713867188,7.162501525878905,162.3500061035156,142.32210037231448,143.67100067138676,145.01990097045902,1.0,1.0441911429687625,-1.5114764483806755,1.0,1.5114764483806755,1.0323164185407467,1.0,1.5114764483806755,0.9395473562037113,-1.0,-1.5114764483806755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5114764483806755,1,1.5114764483806755,1,1.5114764483806755,1,1.5114764483806755,1,1.5114764483806755,1
2023-01-10,159.6000061035156,171.5,158.2899932861328,171.0099945068359,171.0099945068359,3671100.0,7.438585458374797,4.049558898262694,4.020416293918742,3.2509593215028185,3.167324570130029,155.84400024414063,152.01199951171876,157.03200022379556,151.14083353678384,142.50150016784667,159.2630693622804,155.86814380492453,154.81154293435418,149.60851551937515,139.93379038750737,155.49211426178996,155.07603640163785,0.4160778601521144,-0.9076100314805792,0.8186709550578524,-0.8186709550578524,0.8186709550578524,0.8186709550578524,-0.8186709550578524,0.8186709550578524,0.8186709550578524,0.8186709550578524,0.8186709550578524,7.310012817382784,7.268002319335939,171.5,146.592502746582,148.02500305175778,149.45750335693356,1.0,1.0389779952191276,7.438585458374797,1.0,7.438585458374797,1.0347776154112378,1.0,7.438585458374797,1.0264054881402178,1.0,-7.438585458374797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.438585458374797,1,7.438585458374797,1,7.438585458374797,1,7.438585458374797,-1,7.438585458374797,1
2023-01-11,170.4600067138672,177.6000061035156,170.2899932861328,172.4100036621094,172.4100036621094,3773100.0,0.8186709550578524,4.010173202428649,3.603695579455693,3.2402107570932013,3.141785303463247,160.97000122070312,154.2309997558594,157.25833384195963,151.95833358764648,143.04740020751953,163.64538079555675,158.87575468804906,155.94692749743518,150.35610529454678,140.5768837196777,158.09486647722375,156.3600339764876,1.7348325007361325,-0.3791215250372367,3.7352835129145783,-3.7352835129145783,3.7352835129145783,3.7352835129145783,-3.7352835129145783,3.7352835129145783,3.7352835129145783,3.7352835129145783,3.7352835129145783,7.580001831054716,7.24000244140625,177.6000061035156,155.51039489746094,156.96399536132813,158.41759582519532,1.0,1.0348779835181348,0.8186709550578524,1.0,0.8186709550578524,1.0371838721941886,1.0,0.8186709550578524,1.031327873843403,1.0,0.8186709550578524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8186709550578524,1,0.8186709550578524,-1,0.8186709550578524,-1,-0.8186709550578524,1,0.8186709550578524,1
2023-01-12,173.1000061035156,179.2799987792969,171.6999969482422,178.8500061035156,178.8500061035156,2835400.0,3.7352835129145783,3.251108902438401,3.3475452805667385,3.196153258687308,3.1049607492380487,167.64800109863282,157.4990005493164,157.82633412679036,152.9678337097168,143.6818002319336,168.71358923154304,162.50743676358843,157.424545472021,151.29033155057854,141.33476733123885,161.28796488126866,158.02595783774893,3.2620070435197306,0.3491041886741567,0.7492291261734862,-0.7492291261734862,0.7492291261734862,0.7492291261734862,-0.7492291261734862,0.7492291261734862,0.7492291261734862,0.7492291261734862,0.7492291261734862,5.830001831054688,7.17500228881836,179.2799987792969,161.67200073242185,163.1200012207031,164.56800170898435,1.0,1.0317615821525812,3.7352835129145783,1.0,3.7352835129145783,1.0405459744755183,1.0,3.7352835129145783,1.0293699395303588,1.0,3.7352835129145783,0.0,1.0,0.0,0.001344914,0.001344914,0.00576608,0.00576608,3.7352835129145783,1,-3.7352835129145783,1,-3.7352835129145783,-1,3.7352835129145783,1,3.7352835129145783,1
2023-01-13,177.7200012207031,182.5800018310547,176.75,180.1900024414062,180.1900024414062,1934600.0,0.7492291261734862,2.8359311765174597,3.3738537779738045,3.183381571929405,3.0957218126205466,172.3260009765625,160.64000091552734,158.081667582194,153.94916712443035,144.3389002227783,172.53906030149744,165.72244870500984,158.8932846313362,152.23786174372043,142.10417792747978,164.19597065975134,159.66773891950132,4.528231740250021,1.1849296989893296,-1.4373696114093824,-1.4373696114093824,-1.4373696114093824,-1.4373696114093824,1.4373696114093824,-1.4373696114093824,-1.4373696114093824,-1.4373696114093824,-1.4373696114093824,8.85000610351571,7.353002166748055,182.5800018310547,163.49499374389652,164.92999420166018,166.36499465942384,0.0,1.0268432790833064,0.7492291261734862,1.0,0.7492291261734862,1.0437172646238266,1.0,0.7492291261734862,1.0283164200838362,1.0,0.7492291261734862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7492291261734862,1,0.7492291261734862,-1,-0.7492291261734862,-1,0.7492291261734862,1,0.7492291261734862,1
2023-01-17,181.0,185.2799987792969,176.4299926757812,177.6000061035156,177.6000061035156,2559700.0,-1.4373696114093824,3.4287244353593804,3.527637086463157,3.2091603029713136,3.101165771673601,176.01200256347656,163.42100219726564,158.3836680094401,154.9056672414144,144.97070030212402,174.2260422355035,167.88200459564723,160.10016988760586,153.06940746043503,142.80706561413396,166.25812995879198,160.99605500720608,5.262074951585902,2.0003587495086443,-0.0168912039785092,-0.0168912039785092,-0.0168912039785092,-0.0168912039785092,0.0168912039785092,-0.0168912039785092,-0.0168912039785092,-0.0168912039785092,-0.0168912039785092,8.040008544921903,7.346002197265636,185.2799987792969,166.40339706420897,167.87399749755858,169.34459793090818,0.0,1.0224523791153837,-1.4373696114093824,1.0,-1.4373696114093824,1.045931858911704,1.0,-1.4373696114093824,1.0348238498838556,1.0,-1.4373696114093824,0.0,0.0,1.0,0.004261857,0.004261857,0.9784270524978638,0.9784270524978638,-1.4373696114093824,-1,1.4373696114093824,1,1.4373696114093824,1,-1.4373696114093824,1,-1.4373696114093824,1
2023-01-18,178.6300048828125,180.8800048828125,172.8399963378906,177.5700073242188,177.5700073242188,2089800.0,-0.0168912039785092,1.889932851930196,3.260743931946005,3.118282273581759,3.092215667244852,177.32400512695312,166.58400268554686,158.69200134277344,155.886500676473,145.56200035095216,175.34069726507528,169.6434596372057,161.22725617383898,153.87270581662466,143.49544069750198,167.99841878424226,162.22375517883663,5.774663605405607,2.7552197206880367,-7.073273807130059,-7.073273807130059,-7.073273807130059,-7.073273807130059,7.073273807130059,-7.073273807130059,-7.073273807130059,-7.073273807130059,-7.073273807130059,11.97999572753912,7.584001922607433,180.8800048828125,169.11879394531252,170.58799438476564,172.05719482421875,0.0,1.0179970725760468,-0.0168912039785092,1.0,-0.0168912039785092,1.0477963282583656,1.0,-0.0168912039785092,1.0084297504255684,1.0,-0.0168912039785092,0.0,0.0,1.0,0.1645110249519348,0.1645110249519348,0.8338099718093872,0.8338099718093872,0.0168912039785092,-1,-0.0168912039785092,1,-0.0168912039785092,1,-0.0168912039785092,1,-0.0168912039785092,1
