Date_NXPI_L01d,Open_NXPI_L01d,High_NXPI_L01d,Low_NXPI_L01d,Close_NXPI_L01d,Adj Close_NXPI_L01d,Volume_NXPI_L01d,Daily_Return_NXPI_L01d,Vol5_NXPI_L01d,Vol10_NXPI_L01d,Vol20_NXPI_L01d,Vol60_NXPI_L01d,SMA5_NXPI_L01d,SMA10_NXPI_L01d,SMA30_NXPI_L01d,SMA60_NXPI_L01d,SMA100_NXPI_L01d,EMA5_NXPI_L01d,EMA10_NXPI_L01d,EMA30_NXPI_L01d,EMA60_NXPI_L01d,EMA100_NXPI_L01d,Short12_NXPI_L01d,Long26_NXPI_L01d,MACD_NXPI_L01d,SIGNAL9_NXPI_L01d,Ret5/10_NXPI_L01d,Ret10/30_NXPI_L01d,Ret30/60_NXPI_L01d,Ret30/100_NXPI_L01d,Emaret5/10_NXPI_L01d,Emaret10/30_NXPI_L01d,Emaret30/60_NXPI_L01d,Emaret30/100_NXPI_L01d,RetMACD_NXPI_L01d,DayRange_NXPI_L01d,average20r_NXPI_L01d,PRVHI_NXPI_L01d,HitLevel_NXPI_L01d,hitlevel_2_NXPI_L01d,hitlevel_1.8_NXPI_L01d,positive_return_dummy,sma_ratio_L01d,RetMACD_L01d,R_sma_ratio_L01d,ret_sma_ratio_L01d,ema_ratio_L01d,R_ema_ratio_L01d,ret_ema_ratio_L01d,volatility_ratio_L01d,R_vol_ratio_L01d,ret_vol_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2024-01-03,217.5800018310547,218.25,214.0800018310547,216.0800018310547,216.0800018310547,1923900.0,-2.3058102059901846,1.5661493647778089,1.946118171232987,2.088357264815293,2.0965040037574934,226.02200012207032,227.25399932861328,216.36766611735027,202.19399973551432,201.39400009155275,223.48860580538303,224.98537714241175,217.27149608345908,209.3576947385773,204.41482461786185,224.6585417733276,218.9245812985068,5.733960474820805,7.662248164750087,3.850429125192204,-3.850429125192204,-3.850429125192204,-3.850429125192204,3.850429125192204,3.850429125192204,-3.850429125192204,-3.850429125192204,3.850429125192204,6.4199981689453125,5.275497436523447,218.25,215.9563984680175,216.9839981079101,218.01159774780268,0.0,1.0503140483354785,2.3058102059901846,1.0,-2.3058102059901846,1.0355034194452712,1.0,-2.3058102059901846,0.9318894827150724,-1.0,2.3058102059901846,0.0,0.0,1.0,0.003870185,0.003870185,0.954548895,0.954548895,,1,,1,,-1,,-1
2024-01-04,204.3099975585938,210.5399932861328,204.1199951171875,207.7599945068359,207.7599945068359,3880700.0,-3.850429125192204,1.6297979418015462,2.184536100991646,2.2805756938162483,2.158280104442667,221.1539978027344,225.0919982910156,216.51499938964844,202.35466639200845,201.4296000671387,218.245735372534,221.85348939048887,216.6578508204512,209.30531112442185,204.4810656057623,222.0587652707904,218.0975748694941,3.961190401296278,6.922036612059325,0.9818989892520866,-0.9818989892520866,-0.9818989892520866,-0.9818989892520866,0.9818989892520866,0.9818989892520866,-0.9818989892520866,-0.9818989892520866,0.9818989892520866,4.300003051757784,5.242498016357432,210.5399932861328,206.6439056396484,207.6990051269531,208.75410461425776,0.0,1.039613878602155,3.850429125192204,1.0,-3.850429125192204,1.0239808460684097,1.0,-3.850429125192204,0.957888004732747,-1.0,3.850429125192204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.850429125192204,1,-3.850429125192204,1,3.850429125192204,1,3.850429125192204,1
2024-01-05,207.9900054931641,208.9600067138672,204.6600036621094,205.7200012207031,205.7200012207031,2245300.0,-0.9818989892520866,1.498958279696923,2.085531605012132,2.2927276165775456,2.150609037266667,216.0839965820312,223.3739990234375,216.69099934895837,202.42083307902016,201.4143000793457,214.07049065525703,218.9201279050733,215.9521831043384,209.18775998003764,204.505598984276,219.54510926308467,217.18071756217628,2.364391700908385,6.010507629829138,-3.1353280721218986,3.1353280721218986,3.1353280721218986,3.1353280721218986,-3.1353280721218986,-3.1353280721218986,3.1353280721218986,3.1353280721218986,-3.1353280721218986,5.770004272460994,5.214498901367202,208.9600067138672,199.00649765014649,200.05499725341795,201.10349685668945,1.0,1.0308411502764674,0.9818989892520866,1.0,-0.9818989892520866,1.0137435276553834,1.0,-0.9818989892520866,0.909629033092599,-1.0,0.9818989892520866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9818989892520866,1,-0.9818989892520866,-1,-0.9818989892520866,1,-0.9818989892520866,-1
2024-01-08,207.3000030517578,213.0299987792969,207.2599945068359,212.1699981689453,212.1699981689453,1923600.0,3.1353280721218986,2.861982559895622,2.1421115037567926,2.31480765728055,2.1849021582199826,212.58199768066407,221.66599884033204,217.11066589355468,202.56599960327148,201.51860000610355,213.43699315981985,217.6928315894136,215.70817117302272,209.2855382813133,204.65736926516053,218.41047678706323,216.80955316267767,1.6009236243855582,5.128590828740422,0.216803251660419,-0.216803251660419,-0.216803251660419,-0.216803251660419,0.216803251660419,0.216803251660419,-0.216803251660419,-0.216803251660419,0.216803251660419,5.35000610351571,5.160499572753923,213.0299987792969,197.48810913085936,198.5310089111328,199.57390869140625,0.0,1.0209816174992101,-3.1353280721218986,1.0,3.1353280721218986,1.009200673324512,1.0,3.1353280721218986,0.9253950309950841,-1.0,-3.1353280721218986,0.0,0.0,1.0,0.004055913,0.004055913,0.979734004,0.979734004,3.1353280721218986,1,-3.1353280721218986,1,3.1353280721218986,1,-3.1353280721218986,1
2024-01-09,208.1300048828125,213.0700073242188,207.7200012207031,211.7100067138672,211.7100067138672,2023300.0,-0.216803251660419,2.618346278245414,2.139520250047741,2.2767622113409103,2.1837091145626584,210.6880004882813,219.9419998168945,217.496999613444,202.7218330383301,201.66830001831056,212.86133101116897,216.6050452484052,215.45022507888368,209.36502904959372,204.79702545226365,217.37963523734075,216.4318089812843,0.9478262560564588,4.29243791420363,0.1983909189054235,-0.1983909189054235,-0.1983909189054235,-0.1983909189054235,0.1983909189054235,0.1983909189054235,-0.1983909189054235,-0.1983909189054235,0.1983909189054235,5.330001831054716,5.130000305175798,213.0700073242188,201.67689971923824,202.70899963378903,203.74109954833983,0.0,1.0112415353213884,0.216803251660419,1.0,-0.216803251660419,1.0053600323188276,1.0,-0.216803251660419,0.9397205555285723,-1.0,0.216803251660419,1.0,0.0,0.0,0.892924249,0.892924249,0.097539775,0.097539775,-0.216803251660419,1,-0.216803251660419,-1,-0.216803251660419,1,-0.216803251660419,-1
2024-01-10,211.8600006103516,212.5099945068359,207.1799926757812,211.2899932861328,211.2899932861328,1759400.0,-0.1983909189054235,2.4906977898322618,2.0276486495825625,2.2064729509933074,2.120700460899068,209.7299987792969,217.8759994506836,217.8846659342448,203.0016662597656,201.8358999633789,212.3375517694903,215.63867216435565,215.1818230277385,209.4281426311196,204.92559907273628,216.44276724484723,216.0509337446064,0.3918335002408355,3.512317031411071,-0.0946624134539198,-0.0946624134539198,0.0946624134539198,0.0946624134539198,-0.0946624134539198,-0.0946624134539198,0.0946624134539198,0.0946624134539198,-0.0946624134539198,5.180007934570284,5.241500091552749,212.5099945068359,201.7840066528321,202.8100067138672,203.8360067749024,1.0,0.9999602244447812,0.1983909189054235,-1.0,-0.1983909189054235,1.0021230842372697,1.0,-0.1983909189054235,0.9189546822542094,-1.0,0.1983909189054235,0.0,0.0,1.0,0.001115971,0.001115971,0.996777356,0.996777356,-0.1983909189054235,1,0.1983909189054235,1,-0.1983909189054235,1,0.1983909189054235,1
2024-01-11,210.9900054931641,212.4900054931641,207.3099975585938,211.4900054931641,211.4900054931641,2138900.0,0.0946624134539198,1.5982669366169246,2.0292718247252903,2.2046782198522514,2.0940163611867595,210.4760009765625,215.81499938964845,218.26666615804035,203.19683303833008,201.9850999450684,212.05503634404823,214.88436913322988,214.94364125131435,209.4957446921702,205.05558731868533,215.6808038984344,215.7130872074625,-0.032283309028088,2.80339696332324,1.1253509957894572,1.1253509957894572,-1.1253509957894572,-1.1253509957894572,1.1253509957894572,1.1253509957894572,1.1253509957894572,-1.1253509957894572,1.1253509957894572,4.639999389648381,5.197000122070323,212.4900054931641,200.97869430541985,202.0269943237304,203.07529434204096,0.0,0.9887675621223044,-0.0946624134539198,-1.0,-0.0946624134539198,0.9997242434447495,-1.0,0.0946624134539198,0.9204390039564522,-1.0,-0.0946624134539198,0.0,0.0,1.0,0.003246486,0.003246486,0.971440911,0.971440911,0.0946624134539198,-1,0.0946624134539198,-1,0.0946624134539198,1,0.0946624134539198,1
2024-01-12,211.3000030517578,212.2100067138672,207.5700073242188,209.1100006103516,209.1100006103516,1247700.0,-1.1253509957894572,1.629507246484985,2.023424295958989,2.197201818421102,2.0949266883455846,211.15400085449215,213.6189987182617,218.4259994506836,203.38666636149085,202.06,211.07335776614931,213.834483947252,214.5672773389942,209.4830973452253,205.1358727304015,214.6699110848832,215.2239696817506,-0.5540585968673781,2.1319058512851163,0.0573837295381653,0.0573837295381653,-0.0573837295381653,-0.0573837295381653,0.0573837295381653,0.0573837295381653,0.0573837295381653,-0.0573837295381653,0.0573837295381653,5.41000366210929,4.955000305175787,212.2100067138672,201.05660522460937,202.09600524902345,203.1354052734375,0.0,0.9779925432663192,1.1253509957894572,-1.0,1.1253509957894572,0.9965847849642775,-1.0,1.1253509957894572,0.9209096219540777,-1.0,1.1253509957894572,0.0,0.0,1.0,0.001029988,0.001029988,0.996648371,0.996648371,1.1253509957894572,-1,1.1253509957894572,-1,-1.1253509957894572,1,-1.1253509957894572,-1
2024-01-16,210.6900024414062,211.7200012207031,206.3099975585938,208.9900054931641,208.9900054931641,1749600.0,-0.0573837295381653,0.4777733018520367,2.0418203701179234,1.797418364009972,2.0712580036662525,210.51800231933595,211.55,218.58966623942055,203.6498331705729,202.15330001831052,210.3789070084876,212.9536696828724,214.20745334894065,209.46693039925609,205.21219219105024,213.79607945538797,214.76219455667007,-0.9661151012821848,1.5123016607716562,1.6795108250953226,1.6795108250953226,-1.6795108250953226,-1.6795108250953226,1.6795108250953226,1.6795108250953226,1.6795108250953226,-1.6795108250953226,1.6795108250953226,4.4199981689453125,4.902500152587898,211.7200012207031,201.3090060424805,202.3000061035156,203.2910061645508,0.0,0.9677950638722783,0.0573837295381653,-1.0,0.0573837295381653,0.994146871892334,-1.0,0.0573837295381653,1.1359739118068761,1.0,0.0573837295381653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573837295381653,-1,0.0573837295381653,-1,-0.0573837295381653,1,0.0573837295381653,-1
2024-01-17,205.9299926757812,206.0,201.5800018310547,205.4799957275391,205.4799957275391,2146700.0,-1.6795108250953226,0.7712625812512552,1.8245088835001848,1.808962560340296,2.050876176789055,209.27200012207032,209.9800003051758,218.5829996744792,203.94233322143555,202.1970999145508,208.7459365815048,211.59481987281177,213.64439156691475,209.33621122969157,205.2174952313768,212.5166819587958,214.0746242730308,-1.5579423142349924,0.8982528657703266,-2.9832611496355685,-2.9832611496355685,2.9832611496355685,2.9832611496355685,-2.9832611496355685,-2.9832611496355685,-2.9832611496355685,2.9832611496355685,-2.9832611496355685,3.7199859619140057,4.758999633789064,206.0,200.93450088500973,201.9150009155273,202.89550094604488,1.0,0.9606419557691346,1.6795108250953226,-1.0,1.6795108250953226,0.9904066206509285,-1.0,1.6795108250953226,1.0085940546812446,1.0,-1.6795108250953226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6795108250953226,-1,1.6795108250953226,1,-1.6795108250953226,1,1.6795108250953226,1
